Lattitude,Longitude,Restaurant,State
-117.91911999999999,33.684909999999995,BurgerKing,CA
-122.71309699999999,38.331338,BurgerKing,CA
-117.92466999999999,34.08957,BurgerKing,CA
-117.87235,34.09904,BurgerKing,CA
-118.39463,34.00132,BurgerKing,CA
-118.01078999999999,33.809909999999995,BurgerKing,CA
-117.69766000000001,33.49098,BurgerKing,CA
-117.24848999999999,32.98067,BurgerKing,CA
-119.24906000000001,35.78954,BurgerKing,CA
-117.83636000000001,33.975770000000004,BurgerKing,CA
-117.82348,34.00978,BurgerKing,CA
-118.15295,33.92473,BurgerKing,CA
-118.1431,33.90337,BurgerKing,CA
-118.12876999999999,33.95499,BurgerKing,CA
-118.11463,33.93114,BurgerKing,CA
-117.97503,34.13981,BurgerKing,CA
-117.91776000000002,34.92062,BurgerKing,CA
-116.97116000000001,32.806740000000005,BurgerKing,CA
-116.94186,32.73975,BurgerKing,CA
-116.93476000000001,32.793659999999996,BurgerKing,CA
-116.87996000000001,32.84384,BurgerKing,CA
-115.57005,32.79211,BurgerKing,CA
-118.02346000000001,34.07351,BurgerKing,CA
-121.39041999999999,38.42479,BurgerKing,CA
-121.3843,38.40913,BurgerKing,CA
-120.62808999999999,39.2589,BurgerKing,CA
-117.28376000000002,33.03608,BurgerKing,CA
-117.26082,33.0509,BurgerKing,CA
-118.47952,34.15593,BurgerKing,CA
-117.1021,33.113279999999996,BurgerKing,CA
-117.08813,33.12962,BurgerKing,CA
-117.07678,33.10465,BurgerKing,CA
-117.05724,33.13485,BurgerKing,CA
-117.25161999999999,33.37546,BurgerKing,CA
-118.91471999999999,34.39647,BurgerKing,CA
-121.19003000000001,38.6431,BurgerKing,CA
-117.43579,34.10662,BurgerKing,CA
-117.43543000000001,34.07073,BurgerKing,CA
-117.95486000000001,33.728970000000004,BurgerKing,CA
-117.97528,33.85928,BurgerKing,CA
-117.92451000000001,33.85907,BurgerKing,CA
-117.88923999999999,33.8744,BurgerKing,CA
-121.29269,38.25221,BurgerKing,CA
-118.02928,33.78268,BurgerKing,CA
-117.95833999999999,33.782759999999996,BurgerKing,CA
-117.95473,33.76001,BurgerKing,CA
-117.91771999999999,33.775909999999996,BurgerKing,CA
-118.3093,33.901759999999996,BurgerKing,CA
-118.30693000000001,33.87311,BurgerKing,CA
-118.28873,34.17071,BurgerKing,CA
-118.25809,34.15359,BurgerKing,CA
-118.25798999999999,34.12708,BurgerKing,CA
-118.23945,34.142509999999994,BurgerKing,CA
-118.52356999999999,34.26493,BurgerKing,CA
-121.22536000000001,38.74361,BurgerKing,CA
-121.03889,39.23595,BurgerKing,CA
-121.68777,39.36055,BurgerKing,CA
-120.60965,35.12112,BurgerKing,CA
-117.96351999999999,34.009879999999995,BurgerKing,CA
-117.93224,33.99061,BurgerKing,CA
-118.306,33.78933,BurgerKing,CA
-118.06546000000002,33.83173,BurgerKing,CA
-118.36736,33.91653,BurgerKing,CA
-118.34251,33.91625,BurgerKing,CA
-116.99262,33.74757,BurgerKing,CA
-117.37756999999999,34.42668,BurgerKing,CA
-117.34631999999999,34.3124,BurgerKing,CA
-117.29178999999999,34.41997,BurgerKing,CA
-118.18494,34.11626,BurgerKing,CA
-117.19787,34.135940000000005,BurgerKing,CA
-118.00191000000001,33.6573,BurgerKing,CA
-117.98946000000001,33.724940000000004,BurgerKing,CA
-117.98833,33.67508,BurgerKing,CA
-117.95421,33.684020000000004,BurgerKing,CA
-117.1086,32.58413,BurgerKing,CA
-116.23803000000001,33.71092,BurgerKing,CA
-118.35354,33.9628,BurgerKing,CA
-118.35146,33.9453,BurgerKing,CA
-118.32681000000001,33.94531,BurgerKing,CA
-117.83488999999999,33.69978,BurgerKing,CA
-117.83441,33.67844,BurgerKing,CA
-117.78625,33.70582,BurgerKing,CA
-117.74368,33.64288,BurgerKing,CA
-120.80261000000002,38.363,BurgerKing,CA
-118.25585,34.23418,BurgerKing,CA
-117.96988999999999,33.93997,BurgerKing,CA
-117.96019,33.917159999999996,BurgerKing,CA
-118.01163000000001,33.91584,BurgerKing,CA
-118.0368,33.858959999999996,BurgerKing,CA
-117.97433999999998,34.03445,BurgerKing,CA
-117.9463,34.0486,BurgerKing,CA
-117.64451000000001,33.56474,BurgerKing,CA
-117.70964,33.61197,BurgerKing,CA
-117.68526000000001,33.553709999999995,BurgerKing,CA
-117.33667,33.69339,BurgerKing,CA
-117.29895,33.65813,BurgerKing,CA
-117.71751,33.630109999999995,BurgerKing,CA
-118.47752,35.61772,BurgerKing,CA
-116.92233999999999,32.861779999999996,BurgerKing,CA
-118.16309,33.83222,BurgerKing,CA
-118.13871,33.85233,BurgerKing,CA
-118.20366999999999,34.66036,BurgerKing,CA
-118.15563,34.675270000000005,BurgerKing,CA
-118.15154,34.70381,BurgerKing,CA
-118.35226000000002,33.89989,BurgerKing,CA
-117.04678999999999,32.74269,BurgerKing,CA
-121.29263999999999,38.886829999999996,BurgerKing,CA
-117.98188,34.52098,BurgerKing,CA
-121.15437,38.15728,BurgerKing,CA
-120.45778999999999,34.65607,BurgerKing,CA
-118.19312,33.7718,BurgerKing,CA
-118.18913,33.80453,BurgerKing,CA
-118.18632,33.874190000000006,BurgerKing,CA
-118.16847,33.85686,BurgerKing,CA
-118.13948,33.787620000000004,BurgerKing,CA
-118.12546999999999,33.809740000000005,BurgerKing,CA
-121.19075,38.81858,BurgerKing,CA
-118.07203,33.80404,BurgerKing,CA
-118.46203,34.04115,BurgerKing,CA
-118.44518000000001,34.06357,BurgerKing,CA
-118.44335,33.99257,BurgerKing,CA
-118.42161999999999,34.01876,BurgerKing,CA
-118.38604,33.94895,BurgerKing,CA
-118.37966999999999,33.95973,BurgerKing,CA
-118.37631999999999,34.04592,BurgerKing,CA
-118.37078000000001,33.9772,BurgerKing,CA
-118.34411999999999,34.05202,BurgerKing,CA
-118.34365,34.09811,BurgerKing,CA
-118.34118000000001,34.06203,BurgerKing,CA
-118.33855,34.10249,BurgerKing,CA
-118.33493999999999,34.02732,BurgerKing,CA
-118.33067,33.98822,BurgerKing,CA
-118.31182,34.09823,BurgerKing,CA
-118.3093,34.088840000000005,BurgerKing,CA
-118.30917,33.932629999999996,BurgerKing,CA
-118.3082,34.010690000000004,BurgerKing,CA
-118.30174,34.06165,BurgerKing,CA
-118.30143000000001,33.96014,BurgerKing,CA
-118.29183,34.07091,BurgerKing,CA
-118.29173999999999,34.04087,BurgerKing,CA
-118.28561,34.02465,BurgerKing,CA
-118.28278,33.97455,BurgerKing,CA
-118.2785,33.94547,BurgerKing,CA
-118.27496000000001,34.05343,BurgerKing,CA
-118.27216000000001,34.06351,BurgerKing,CA
-118.26762,34.03263,BurgerKing,CA
-118.26508999999999,33.917159999999996,BurgerKing,CA
